time,open,high,low,close,tick_volume,spread,real_volume,RSI_14,STOCHk_14_3_3,STOCHd_14_3_3,STOCHh_14_3_3,SMA_20,SMA_50,EMA_100,ATRr_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ADX_14,ADXR_14_2,DMP_14,DMN_14,buy_signal,sell_signal
2025-04-17 19:00:00,1.13633,1.1371,1.134,1.13507,4959,0,0,44.64271656281686,35.959974984367136,36.20799035433326,-0.24801536996612583,1.1368285,1.1351030000000002,1.1349948,0.002419272721288567,1.1338224760480078,1.1368285,1.1398345239519923,0.5288438760977987,0.2075039939660899,16.503755406440398,15.736191958647925,12.236613995886154,22.034829071664408,0,0
2025-04-17 20:00:00,1.13506,1.1353900000000001,1.13411,1.13512,2998,0,0,44.87874536997317,37.08567854909411,37.78611632270307,-0.7004377736089609,1.1366035,1.1352278000000002,1.1349972792079208,0.002337896098339396,1.1338111851708275,1.1366035,1.1393958148291727,0.4913436971067988,0.23436018308154852,17.367060572261877,16.47055136160111,11.757957249733371,21.172897855314734,0,0
2025-04-17 21:00:00,1.13511,1.13753,1.13432,1.13733,3256,0,0,54.17841111334368,43.33958724202644,38.795080258495894,4.544506983530546,1.1364720000000001,1.1354258000000002,1.135043471698853,0.002400189234172292,1.1341345826217906,1.1364720000000001,1.1388094173782097,0.41134623258814695,0.6835358990650217,16.55041336841955,16.527084387429973,17.004446647352804,19.149842036039907,0,0
2025-04-17 22:00:00,1.13733,1.1376,1.13685,1.1373199999999999,2213,0,0,54.13390598897284,57.41088180112487,45.945382530748475,11.465499270376398,1.1363605,1.1356274000000002,1.1350885514671925,0.002282318574588559,1.1344715796734757,1.1363605,1.1382494203265245,0.33245089503277075,0.7539810669953548,15.745425114136099,16.556242843198987,16.824348536905212,18.700252748946678,0,0
2025-04-17 23:00:00,1.1373199999999999,1.13766,1.13622,1.13634,1517,0,0,49.815174806996716,65.04065040650315,55.26370648321815,9.776943923284996,1.136338,1.1358070000000002,1.135113332626258,0.0022221529621179394,1.1344599315633905,1.136338,1.1382160684366096,0.33054750199492344,0.5005324619595455,15.37959820438424,15.965005786401896,16.04543685699485,19.859973178527994,0,0
2025-04-18 00:00:00,1.13616,1.13678,1.13586,1.13676,269,25,0,51.59740323963886,61.47592245153158,61.3091515530532,0.1667708984783829,1.1363485,1.1359774000000002,1.1351459399009853,0.002129142036252359,1.1344631071189943,1.1363485,1.1382338928810056,0.3318335670801067,0.6091284485439769,15.254086126898374,15.499755620517236,15.550108267674306,20.454859478413518,0,0
2025-04-18 01:00:00,1.13676,1.13695,1.1366,1.1367099999999999,2056,0,0,51.36354571647239,58.76370751521643,61.76009345775038,-2.996385942533948,1.1362925,1.136149,1.1351769113880945,0.002002060462234323,1.1345298479908896,1.1362925,1.1380551520091102,0.31024617501396856,0.6184295022052292,15.001390376465586,15.190494290424914,15.962531254416072,20.199386524519973,0,0
2025-04-18 02:00:00,1.13672,1.13748,1.1366100000000001,1.13721,1000,0,0,53.6270081947916,65.48065313097992,61.90676103257597,3.5738920984039453,1.1363320000000001,1.1363318,1.1352171705685283,0.0019211990006461517,1.1345225325005583,1.1363320000000001,1.138141467499442,0.3184751462498239,0.7426128129603874,14.341262280227603,14.797674203562988,17.41698232165601,19.545895112219903,0,0
2025-04-18 03:00:00,1.13723,1.13864,1.13621,1.13742,3929,0,0,54.583020785456526,70.65560959227123,64.96665674615586,5.68895284611537,1.1363915000000002,1.1364892,1.13526079095331,0.001957541929171438,1.134518992252856,1.1363915000000002,1.1382640077471444,0.3295532828508842,0.7746317075505993,13.74889306115789,14.375141718811738,20.10583337324641,17.812497384131152,0,0
2025-04-18 04:00:00,1.13743,1.13763,1.13677,1.13709,4912,0,0,52.742918428283524,72.88795024316562,69.67473765547226,3.213212587693363,1.1364840000000003,1.136644,1.1352970129146305,0.0018791460770877539,1.134669109543698,1.1364840000000003,1.1382988904563025,0.3193868908497139,0.666952225104088,13.198835929164586,13.770049104696096,19.44847079228573,17.23011569238946,0,0
2025-04-18 05:00:00,1.13709,1.13787,1.13666,1.1372,4079,0,0,53.30797322897693,71.84682092014788,71.7967935851949,0.05002733495297207,1.1365495,1.1367542000000002,1.135334695827212,0.0018313499287243382,1.1347303217586946,1.1365495,1.1383686782413056,0.3201230111500657,0.6787895174947411,12.863159600993576,13.306026331075733,19.466701888043787,16.416828802010947,1,0
2025-04-18 06:00:00,1.1372,1.13757,1.1369,1.1373,4123,0,0,53.84823468800119,70.42131921261463,71.71869679197604,-1.2973775793614095,1.136531,1.1368532,1.1353736127415244,0.001748396362386882,1.1347527347305937,1.136531,1.1383092652694062,0.312928599291401,0.7162219589028953,12.55146015340621,12.875148041285398,18.933775867188146,15.967396982546068,1,0
2025-04-18 07:00:00,1.1373,1.13744,1.13686,1.13693,4554,0,0,51.47498257110805,68.24773012653199,70.17195675309816,-1.924226626566167,1.1364845,1.1369365999999999,1.1354044322911971,0.0016649394793592492,1.1348067637432169,1.1364845,1.138162236256783,0.29525017838483936,0.6327681863579447,12.223136661997739,12.543148131495657,18.462576467036577,15.741653481904255,1,0
2025-04-18 08:00:00,1.13693,1.13741,1.13632,1.13706,4261,0,0,52.27092514400497,66.98118902733374,68.55007945549345,-1.5688904281597047,1.1364750000000001,1.1369914,1.1354372158101833,0.001623872373690734,1.1348134408083599,1.1364750000000001,1.1381365591916404,0.29240576196400947,0.6760394703189425,11.393974066306548,11.97271710985638,17.577253557702708,17.36242334766443,1,0
